price,room,space,name,link
230.000€,3 hab.,74 m²,"Piso en calle de la Ciutat d'Elx, La Sagrera, Barcelona",https://www.idealista.com/inmueble/95945188/
229.000€,3 hab.,68 m²,"Piso en calle d'Hondures, La Sagrera, Barcelona",https://www.idealista.com/inmueble/96975000/
219.000€,3 hab.,70 m²,"Piso en calle de Concepción Arenal, 110, La Sagrera, Barcelona",https://www.idealista.com/inmueble/95250496/
230.000€,3 hab.,67 m²,"Piso en calle de la Ciutat d'Elx, La Sagrera, Barcelona",https://www.idealista.com/inmueble/97077025/
168.000€,2 hab.,51 m²,"Piso en calle de Concepción Arenal, La Sagrera, Barcelona",https://www.idealista.com/inmueble/96174593/
260.000€,4 hab.,74 m²,"Piso en calle de Garcilaso, 110, La Sagrera, Barcelona",https://www.idealista.com/inmueble/96738151/
230.000€,3 hab.,74 m²,"Piso en calle de la Ciutat d'Elx, La Sagrera, Barcelona",https://www.idealista.com/inmueble/96019947/
240.000€,3 hab.,76 m²,"Piso en calle de Concepción Arenal, El Congrés i els Indians, Barcelona",https://www.idealista.com/inmueble/96315323/
222.000€,3 hab.,70 m²,"Piso en El Congrés i els Indians, Barcelona",https://www.idealista.com/inmueble/93993733/
235.000€,3 hab.,80 m²,"Piso en El Congrés i els Indians, Barcelona",https://www.idealista.com/inmueble/96236477/
205.000€,4 hab.,82 m²,"Piso en calle del Prat d'en Roquer, El Congrés i els Indians, Barcelona",https://www.idealista.com/inmueble/97216953/
575.000€,10 hab.,428 m²,"Piso en El Congrés i els Indians, Barcelona",https://www.idealista.com/inmueble/92864356/
215.000€,3 hab.,72 m²,"Piso en El Congrés i els Indians, Barcelona",https://www.idealista.com/inmueble/95578495/
239.000€,3 hab.,95 m²,"Piso en calle de la Riera d'Horta, El Congrés i els Indians, Barcelona",https://www.idealista.com/inmueble/95775443/
430.000€,2 hab.,84 m²,"Ático en El Congrés i els Indians, Barcelona",https://www.idealista.com/inmueble/93291162/
250.000€,2 hab.,51 m²,"Piso en calle de la Manigua, El Congrés i els Indians, Barcelona",https://www.idealista.com/inmueble/94197480/
199.000€,3 hab.,57 m²,"Piso en calle de Felip II, 200, El Congrés i els Indians, Barcelona",https://www.idealista.com/inmueble/97168820/
190.000€,2 hab.,50 m²,"Piso en calle del Cardenal Tedeschini, 16, El Congrés i els Indians, Barcelona",https://www.idealista.com/inmueble/96812917/
219.000€,3 hab.,65 m²,"Piso en calle de Matanzas, El Congrés i els Indians, Barcelona",https://www.idealista.com/inmueble/90239894/
200.000€,2 hab.,74 m²,"Piso en calle de Pinar del Rio, El Congrés i els Indians, Barcelona",https://www.idealista.com/inmueble/97144632/
220.000€,3 hab.,69 m²,"Piso en calle de Felip II, El Congrés i els Indians, Barcelona",https://www.idealista.com/inmueble/96303446/
296.000€,2 hab.,70 m²,"Piso en calle Puerto Príncipe, 29, El Congrés i els Indians, Barcelona",https://www.idealista.com/inmueble/97107398/
607.000€,4 hab.,130 m²,"Piso en calle Puerto Príncipe, 29, El Congrés i els Indians, Barcelona",https://www.idealista.com/inmueble/95691271/
